transaction_id,date,customer_id,product_category,product_name,quantity,unit_price,total_amount,payment_method,region
TXN-00001,2024-11-23,CUST-1456,Electronics,Laptop Stand,1,204.62,204.62,Credit Card,West
TXN-00002,2024-01-17,CUST-1122,Electronics,Wireless Mouse,5,128.75,643.75,PayPal,North
TXN-00003,2024-03-22,CUST-3859,Books,Data Engineering Guide,3,35.15,105.45,PayPal,East
TXN-00004,2024-11-05,CUST-2083,Electronics,USB-C Hub,4,28.25,113.0,PayPal,South
TXN-00005,2024-12-26,CUST-1284,Electronics,Webcam,2,260.6,521.2,Bank Transfer,East
TXN-00006,2024-03-24,CUST-2516,Home & Garden,Garden Hose,1,184.69,184.69,Debit Card,South
TXN-00007,2024-08-24,CUST-2554,Home & Garden,Door Mat,2,206.95,413.9,Credit Card,South
TXN-00008,2024-01-17,CUST-4297,Home & Garden,Plant Pot,5,263.52,1317.6,Bank Transfer,West
TXN-00009,2024-11-25,CUST-2879,Clothing,Denim Jeans,5,82.51,412.55,Bank Transfer,East
TXN-00010,2024-04-22,CUST-1566,Sports,Tennis Balls,1,50.09,50.09,Bank Transfer,North
TXN-00011,2024-07-16,CUST-2563,Sports,Foam Roller,5,258.92,-1294.6,Credit Card,East
TXN-00012,2024-11-24,CUST-2393,Electronics,Bluetooth Speaker,3,291.7,875.1,Credit Card,East
TXN-00013,2024-11-23,CUST-3079,Sports,Water Bottle,5,286.27,1431.35,Credit Card,East
TXN-00014,2024-09-07,CUST-1079,Electronics,Webcam,2,264.0,528.0,Credit Card,West
TXN-00015,2024-02-05,CUST-4115,Sports,Resistance Bands,5,53.71,268.55,Bank Transfer,South
TXN-00016,2024-10-03,CUST-4093,Clothing,Winter Jacket,3,134.24,402.72,Credit Card,South
TXN-00017,2024-04-25,CUST-1262,Home & garden,LED Bulb Pack,1,25.94,25.94,Debit Card,North
TXN-00018,2024-01-17,CUST-4521,Home & Garden,Garden Hose,2,164.07,328.14,Bank Transfer,South
TXN-00019,2024-08-30,CUST-4307,Books,Python Cookbook,3,129.95,389.85,Credit Card,North
TXN-00020,2024-02-01,CUST-2649,Home & Garden,Plant Pot,2,163.2,326.4,Debit Card,East
TXN-00021,2024-08-24,CUST-2023,Electronics,USB-C Hub,5,251.62,1258.1,Debit Card,South
TXN-00022,2024-07-27,CUST-2989,Books,Machine Learning Intro,2,116.79,233.58,PayPal,West
TXN-00023,2024-05-26,CUST-2732,Sports,Jump Rope,3,69.22,207.66,Credit Card,East
TXN-00024,2024-01-30,CUST-1205,Sports,Tennis Balls,1,288.42,288.42,Debit Card,North
TXN-00025,2024-10-31,CUST-1278,Clothing,Baseball Cap,5,16.72,83.6,PayPal,East
TXN-00026,2024-04-14,CUST-3743,Home & Garden,Throw Pillow,3,139.88,419.64,Credit Card,North
TXN-00027,2024-08-22,CUST-3544,Sports,Yoga Mat,5,83.23,416.15,Credit Card,South
TXN-00028,2024-07-08,CUST-2167,Clothing,Baseball Cap,5,295.23,1476.15,Credit Card,East
TXN-00029,2024-12-05,CUST-1424,Clothing,Cotton T-Shirt,2,85.34,170.68,PayPal,South
TXN-00030,2024-12-17,CUST-3597,Home & Garden,Garden Hose,1,32.23,32.23,PayPal,North
TXN-00031,2024-01-02,CUST-2366,Clothing,Running Shoes,4,167.74,670.96,Credit Card,North
TXN-00032,2024-02-08,CUST-4870,Clothing,Silk Scarf,5,48.69,243.45,PayPal,East
TXN-00033,2024-01-21,CUST-4681,Home & Garden,LED Bulb Pack,3,235.13,705.39,Bank Transfer,South
TXN-00034,2024-05-01,CUST-4541,Clothing,Silk Scarf,4,12.31,49.24,PayPal,West
TXN-00035,2024-12-08,CUST-4539,Clothing,Silk Scarf,4,262.28,1049.12,Debit Card,South
TXN-00036,2024-08-23,CUST-2432,Home & Garden,Wall Clock,1,199.7,199.7,PayPal,North
TXN-00037,2024-05-22,CUST-2438,Sports,Tennis Balls,1,39.02,39.02,Debit Card,East
TXN-00038,2024-01-20,CUST-1444,Sports,Dumbbell Set,4,183.83,735.32,Bank Transfer,South
TXN-00039,2024-05-10,CUST-1181,BOOKS,Design Patterns,2,112.44,224.88,PayPal,East
TXN-00040,2024-12-05,CUST-4473,Electronics,Webcam,4,101.22,404.88,Debit Card,South
TXN-00041,2024-08-03,CUST-3723,Books,Data Engineering Guide,3,124.79,374.37,PayPal,East
TXN-00042,2024-04-17,CUST-2760,Sports,Water Bottle,4,204.3,817.2,Debit Card,North
TXN-00043,2024-05-25,CUST-3111,Sports,Tennis Balls,2,203.47,406.94,Debit Card,South
TXN-00044,2024-01-13,CUST-1189,Clothing,Baseball Cap,1,139.34,139.34,Debit Card,West
TXN-00045,2024-09-10,CUST-2636,CLOTHING,Cotton T-Shirt,1,234.63,234.63,Bank Transfer,North
TXN-00046,2024-10-12,CUST-2020,Electronics,Power Bank,5,180.65,903.25,Bank Transfer,West
TXN-00047,2024-10-07,CUST-2826,Clothing,Winter Jacket,2,252.75,505.5,Bank Transfer,South
TXN-00048,2024-05-20,CUST-2801,Electronics,Laptop Stand,3,268.43,805.29,Debit Card,South
TXN-00049,2024-07-15,CUST-3842,Clothing,Cotton T-Shirt,3,165.06,495.18,Debit Card,West
TXN-00050,2024-07-18,CUST-4706,Sports,Yoga Mat,5,117.21,-586.05,PayPal,East
TXN-00051,2024-07-18,CUST-4495,Books,Design Patterns,5,269.85,1349.25,PayPal,West
TXN-00051,2024-09-05,CUST-1118,Books,Design Patterns,2,252.94,505.88,Credit Card,West
TXN-00053,2024-10-30,CUST-3311,electronics,Bluetooth Speaker,2,19.83,39.66,Debit Card,West
TXN-00054,2024-06-16,CUST-2382,Books,Machine Learning Intro,1,143.74,143.74,Credit Card,East
TXN-00055,2024-04-24,CUST-3662,Electronics,Wireless Mouse,2,63.81,127.62,Debit Card,South
TXN-00056,2024-03-05,CUST-2939,Electronics,Laptop Stand,3,231.23,693.69,Credit Card,South
TXN-00057,2024-06-08,CUST-1442,sports,Foam Roller,4,122.01,488.04,Credit Card,South
TXN-00058,2024-02-22,CUST-3855,Home & Garden,Candle Set,5,235.87,1179.35,Bank Transfer,East
TXN-00059,2024-02-05,CUST-3072,home & garden,Wall Clock,4,288.42,1153.68,Bank Transfer,South
TXN-00060,2024-08-10,CUST-1721,Sports,Water Bottle,5,233.51,1167.55,PayPal,East
TXN-00061,2024-05-05,CUST-4402,Electronics,Power Bank,4,173.1,692.4,PayPal,North
TXN-00062,2024-09-10,CUST-4485,Home & Garden,LED Bulb Pack,3,105.4,316.2,PayPal,North
TXN-00063,2024-09-21,CUST-4883,CLOTHING,Winter Jacket,2,208.72,417.44,Bank Transfer,West
TXN-00064,2024-01-09,CUST-1381,Home & Garden,Door Mat,5,113.86,569.3,PayPal,West
TXN-00065,2024-10-08,CUST-2354,Home & Garden,Garden Hose,2,40.59,81.18,Credit Card,South
TXN-00066,2024-04-08,CUST-1886,Books,Clean Code,5,181.05,905.25,Debit Card,East
TXN-00067,2024-04-26,CUST-2478,Clothing,Wool Socks,3,18.43,55.29,PayPal,South
TXN-00068,2024-11-22,CUST-4557,Books,Clean Code,4,134.93,539.72,Credit Card,East
TXN-00069,2024-09-01,CUST-1467,Electronics,USB-C Hub,1,49.76,49.76,PayPal,North
TXN-00070,2024-05-07,CUST-1485,Sports,Foam Roller,5,71.58,357.9,Bank Transfer,West
TXN-00071,2024-06-01,CUST-4523,Sports,Water Bottle,1,184.84,184.84,Debit Card,South
TXN-00072,2024-05-15,CUST-3705,Electronics,Bluetooth Speaker,2,5.79,11.58,Bank Transfer,East
TXN-00073,2024-01-17,CUST-1948,Home & Garden,Door Mat,1,207.77,207.77,Debit Card,West
TXN-00074,2024-02-28,CUST-3230,Clothing,Running Shoes,1,22.59,22.59,PayPal,West
TXN-00075,2024-03-04,CUST-2919,Home & Garden,Garden Hose,4,134.13,536.52,Bank Transfer,East
TXN-00076,2024-11-05,CUST-2025,ELECTRONICS,Wireless Mouse,3,174.99,524.97,Debit Card,West
TXN-00077,2024-09-22,CUST-3668,Books,Data Engineering Guide,4,192.26,769.04,Credit Card,West
TXN-00078,2024-06-27,CUST-2672,Home & Garden,Plant Pot,3,126.43,379.29,Bank Transfer,North
TXN-00079,2024-08-20,CUST-1360,Home & Garden,Plant Pot,4,260.14,1040.56,Credit Card,West
TXN-00080,2024-07-30,CUST-1222,Clothing,Baseball Cap,4,229.19,916.76,Debit Card,East
TXN-00081,2024-08-12,CUST-4607,BOOKS,Clean Code,2,96.67,-193.34,Bank Transfer,North
TXN-00082,2024-04-25,CUST-4446,Electronics,USB-C Hub,2,152.02,304.04,PayPal,West
TXN-00083,2024-09-04,CUST-2934,Clothing,Denim Jeans,5,154.93,774.65,Credit Card,East
TXN-00084,2024-07-31,CUST-2392,Sports,Yoga Mat,3,252.05,756.15,Bank Transfer,South
TXN-00085,2024-08-16,CUST-3206,Books,Clean Code,4,139.32,557.28,Debit Card,South
TXN-00086,2024-10-19,CUST-2568,Clothing,Winter Jacket,4,213.04,852.16,Bank Transfer,South
TXN-00087,2024-09-10,CUST-4951,ELECTRONICS,Keyboard,4,34.41,137.64,Credit Card,South
TXN-00088,2024-07-28,CUST-4567,clothing,Running Shoes,4,196.7,786.8,Bank Transfer,East
TXN-00089,2024-11-16,CUST-3943,Books,Python Cookbook,2,191.19,382.38,Debit Card,North
TXN-00090,2024-08-10,CUST-1403,Electronics,Webcam,1,100.69,100.69,PayPal,East
TXN-00091,2024-08-08,CUST-1596,Clothing,Baseball Cap,2,55.14,110.28,Bank Transfer,South
TXN-00092,2024-09-11,CUST-4738,sports,Dumbbell Set,3,201.71,605.13,Bank Transfer,East
TXN-00093,2024-12-12,CUST-3238,clothing,Baseball Cap,4,208.64,834.56,PayPal,South
TXN-00094,2024-07-15,CUST-4495,books,Clean Code,3,297.83,893.49,Bank Transfer,East
TXN-00095,2024-01-05,CUST-3318,Electronics,Power Bank,3,233.84,701.52,PayPal,South
TXN-00096,2024-11-21,CUST-1778,Sports,Tennis Balls,2,190.33,380.66,Credit Card,East
TXN-00097,2024-08-13,CUST-1136,Sports,Resistance Bands,3,101.38,304.14,Debit Card,South
TXN-00098,2024-10-03,CUST-4589,Home & Garden,Garden Hose,3,274.64,823.92,PayPal,East
TXN-00099,2024-02-28,CUST-2918,Electronics,Monitor Cable,5,112.9,564.5,Credit Card,East
TXN-00100,2024-10-01,CUST-1506,Books,Design Patterns,5,117.4,587.0,PayPal,North
TXN-00101,2024-12-11,CUST-1957,BOOKS,SQL Fundamentals,2,196.05,392.1,Bank Transfer,East
TXN-00102,2024-11-28,CUST-2672,Electronics,Webcam,1,33.67,33.67,Debit Card,West
TXN-00103,2024-08-20,CUST-2519,Sports,Dumbbell Set,4,198.2,792.8,Bank Transfer,East
TXN-00104,2024-01-17,CUST-3827,Home & Garden,Throw Pillow,3,34.31,102.93,PayPal,North
TXN-00105,2024-07-22,CUST-2130,Clothing,Silk Scarf,1,200.51,200.51,Credit Card,North
TXN-00106,2024-06-19,CUST-1997,Clothing,Denim Jeans,5,66.11,330.55,Debit Card,East
TXN-00107,2024-03-16,CUST-4230,Sports,Resistance Bands,2,37.43,74.86,Debit Card,North
TXN-00108,2024-07-02,CUST-4235,Clothing,Cotton T-Shirt,1,42.39,42.39,Credit Card,North
TXN-00109,2024-08-31,CUST-2836,Home & Garden,Plant Pot,2,283.89,567.78,PayPal,West
TXN-00110,2024-11-25,CUST-4948,electronics,Monitor Cable,1,149.62,149.62,Credit Card,North
TXN-00111,2024-06-13,CUST-3491,clothing,Baseball Cap,5,215.08,1075.4,PayPal,West
TXN-00112,2024-09-15,CUST-3479,BOOKS,Python Cookbook,5,217.64,1088.2,Bank Transfer,South
TXN-00113,2024-07-30,CUST-2388,Books,Design Patterns,4,97.19,388.76,Debit Card,West
TXN-00114,2024-02-04,CUST-1373,Electronics,Keyboard,5,22.69,113.45,PayPal,North
TXN-00115,2024-07-29,CUST-2448,Books,Design Patterns,3,182.11,546.33,Debit Card,South
TXN-00116,2024-12-02,CUST-2975,Clothing,Running Shoes,3,38.89,116.67,Debit Card,West
TXN-00117,2024-10-14,CUST-4991,Sports,Dumbbell Set,5,279.07,1395.35,PayPal,North
TXN-00118,2024-04-02,CUST-2119,Home & Garden,Garden Hose,,261.6,261.6,Bank Transfer,North
TXN-00119,2024-03-13,CUST-4035,ELECTRONICS,Laptop Stand,4,105.56,422.24,PayPal,North
TXN-00120,2024-01-27,CUST-1637,Clothing,Cotton T-Shirt,3,135.71,407.13,Bank Transfer,West
TXN-00121,2024-05-19,CUST-1882,sports,Yoga Mat,5,148.55,742.75,Credit Card,South
TXN-00122,2024-07-21,CUST-3454,electronics,Laptop Stand,3,90.38,271.14,Bank Transfer,West
TXN-00123,2024-03-30,CUST-1529,Books,Data Engineering Guide,3,26.26,78.78,Credit Card,West
TXN-00124,2024-01-10,CUST-2883,Electronics,Monitor Cable,4,90.4,361.6,PayPal,South
TXN-00125,2024-11-12,CUST-2884,Home & Garden,LED Bulb Pack,4,159.56,638.24,PayPal,East
TXN-00126,2024-04-23,CUST-2364,CLOTHING,Cotton T-Shirt,2,272.24,544.48,Debit Card,South
TXN-00127,2024-02-22,CUST-1599,Home & Garden,Candle Set,1,57.26,57.26,Bank Transfer,West
TXN-00128,2024-10-15,CUST-4112,Sports,Foam Roller,5,100.34,501.7,PayPal,South
TXN-00129,2024-08-13,CUST-1279,Books,SQL Fundamentals,5,21.57,107.85,PayPal,West
TXN-00130,2024-08-19,CUST-1154,Electronics,Webcam,1,186.42,186.42,Bank Transfer,North
TXN-00131,2024-08-18,CUST-4723,Sports,Water Bottle,5,49.5,247.5,Credit Card,East
TXN-00132,2024-12-31,CUST-1345,Sports,Yoga Mat,4,297.33,1189.32,Debit Card,East
TXN-00133,2024-07-09,CUST-4759,Home & Garden,Wall Clock,5,20.45,102.25,PayPal,North
TXN-00134,2024-06-17,CUST-1387,Sports,Water Bottle,5,262.61,1313.05,Debit Card,East
TXN-00135,2024-06-07,CUST-4963,BOOKS,Python Cookbook,4,194.82,779.28,Debit Card,North
TXN-00136,2024-11-26,CUST-3746,Books,Python Cookbook,2,285.59,571.18,Bank Transfer,South
TXN-00137,2024-04-25,CUST-1563,Clothing,Baseball Cap,5,16.14,80.7,Debit Card,West
TXN-00138,2024-03-19,CUST-1664,Clothing,Silk Scarf,2,217.74,435.48,PayPal,South
TXN-00139,2024-08-15,CUST-3500,Home & Garden,Wall Clock,5,75.55,377.75,Bank Transfer,South
TXN-00140,2024-07-07,CUST-3778,Sports,Jump Rope,4,153.35,613.4,Debit Card,South
TXN-00141,2024-11-05,CUST-1566,home & garden,Wall Clock,1,214.86,214.86,Credit Card,East
TXN-00142,2024-02-12,CUST-4125,Clothing,Baseball Cap,4,32.05,128.2,Bank Transfer,East
TXN-00143,2024-01-14,CUST-2699,Electronics,Keyboard,1,115.6,115.6,Credit Card,East
TXN-00144,2024-03-15,CUST-1563,Electronics,Power Bank,2,228.85,457.7,Credit Card,North
TXN-00145,2024-01-10,CUST-2048,Clothing,Baseball Cap,5,160.69,803.45,PayPal,South
TXN-00146,2024-06-03,CUST-1499,Electronics,Power Bank,4,181.03,-724.12,Debit Card,South
TXN-00147,2024-05-29,CUST-2758,Electronics,Laptop Stand,2,200.98,401.96,PayPal,North
TXN-00148,2024-09-26,CUST-3228,Sports,Foam Roller,4,262.62,1050.48,Bank Transfer,East
TXN-00149,2024-05-09,CUST-4061,Electronics,USB-C Hub,1,232.59,232.59,PayPal,South
TXN-00150,2024-01-23,CUST-2443,Sports,Dumbbell Set,4,294.33,1177.32,Debit Card,South
TXN-00151,2024-02-02,CUST-3932,Books,Python Cookbook,1,98.1,98.1,Bank Transfer,West
TXN-00152,2024-05-09,CUST-1149,Clothing,Silk Scarf,3,85.6,256.8,Bank Transfer,West
TXN-00153,2024-08-13,CUST-4664,Books,Data Engineering Guide,4,113.36,453.44,PayPal,North
TXN-00154,2024-08-05,CUST-1323,Books,Data Engineering Guide,3,35.27,105.81,PayPal,East
TXN-00155,2024-08-16,CUST-3468,Books,Machine Learning Intro,1,219.4,219.4,Bank Transfer,East
TXN-00156,2024-11-23,CUST-4241,ELECTRONICS,Monitor Cable,2,286.06,572.12,Bank Transfer,North
TXN-00157,2024-03-05,CUST-1275,Clothing,Running Shoes,5,14.55,72.75,Bank Transfer,East
TXN-00158,2024-07-09,CUST-2818,Electronics,Keyboard,3,78.63,235.89,Debit Card,West
TXN-00159,2024-09-22,CUST-2585,sports,Dumbbell Set,5,89.24,446.2,Bank Transfer,South
TXN-00160,2024-03-03,CUST-1555,Electronics,Power Bank,3,202.01,606.03,PayPal,East
TXN-00161,2024-03-21,CUST-3915,Clothing,Baseball Cap,2,238.65,477.3,Bank Transfer,North
TXN-00162,2024-07-03,CUST-3269,Sports,Tennis Balls,2,185.52,371.04,PayPal,West
TXN-00163,2024-09-02,CUST-3153,Books,Clean Code,3,194.48,583.44,PayPal,South
TXN-00164,2024-10-09,CUST-3620,Sports,Resistance Bands,1,250.25,250.25,PayPal,South
TXN-00165,2024-03-23,CUST-2321,Clothing,Baseball Cap,1,78.93,78.93,PayPal,South
TXN-00166,2024-11-16,CUST-2240,Sports,Foam Roller,5,282.76,1413.8,PayPal,North
TXN-00167,2024-01-15,CUST-1332,Electronics,Webcam,5,127.89,639.45,Bank Transfer,East
TXN-00168,2024-11-24,CUST-4918,Home & Garden,Wall Clock,4,92.74,370.96,Credit Card,South
TXN-00169,2024-08-13,CUST-2702,Books,SQL Fundamentals,3,259.13,777.39,PayPal,West
TXN-00170,2024-03-07,CUST-4115,Home & Garden,Plant Pot,4,41.14,164.56,Debit Card,North
TXN-00171,2024-01-26,CUST-2188,Books,Machine Learning Intro,2,244.97,489.94,PayPal,South
TXN-00172,2024-03-22,CUST-3040,Sports,Water Bottle,1,283.83,283.83,Debit Card,South
TXN-00173,2024-10-25,CUST-2445,electronics,Power Bank,1,254.91,254.91,PayPal,East
TXN-00174,2024-07-25,CUST-2498,Electronics,Laptop Stand,3,26.69,80.07,PayPal,North
TXN-00175,2024-03-06,CUST-4993,Electronics,Keyboard,3,227.71,683.13,Bank Transfer,North
TXN-00176,2024-01-24,CUST-1159,Clothing,Silk Scarf,4,48.94,195.76,Debit Card,East
TXN-00177,2024-11-09,CUST-2304,Clothing,Baseball Cap,3,180.14,540.42,Bank Transfer,East
TXN-00178,2024-08-31,CUST-4341,Electronics,USB-C Hub,5,95.76,478.8,Credit Card,West
TXN-00179,2024-05-15,CUST-4961,Sports,Dumbbell Set,4,55.3,221.2,Bank Transfer,South
TXN-00180,2024-12-14,CUST-1992,Electronics,USB-C Hub,4,97.54,390.16,Debit Card,West
TXN-00181,2024-09-13,CUST-4174,Sports,Tennis Balls,1,213.2,213.2,PayPal,West
TXN-00182,2024-09-26,CUST-2543,Home & Garden,Throw Pillow,3,166.15,498.45,PayPal,West
TXN-00183,2024-04-08,CUST-4921,Clothing,Running Shoes,3,232.49,697.47,Bank Transfer,East
TXN-00184,2024-09-02,CUST-2428,Sports,Tennis Balls,3,40.95,122.85,Bank Transfer,West
TXN-00185,2024-06-25,CUST-4910,Clothing,Running Shoes,1,107.17,107.17,PayPal,West
TXN-00186,2024-04-19,CUST-1827,Sports,Foam Roller,2,37.22,74.44,Debit Card,South
TXN-00187,2024-01-26,CUST-3743,Sports,Resistance Bands,4,102.43,409.72,Debit Card,North
TXN-00188,2024-10-08,CUST-4805,Clothing,Winter Jacket,2,227.99,455.98,PayPal,North
TXN-00189,2024-02-15,CUST-3671,Sports,Dumbbell Set,1,274.39,274.39,Debit Card,North
TXN-00190,2024-07-22,CUST-4227,Books,Design Patterns,3,263.63,-790.89,Credit Card,East
TXN-00191,2024-05-25,CUST-2861,Sports,Resistance Bands,4,85.48,341.92,PayPal,South
TXN-00192,2024-08-22,CUST-3655,Home & Garden,Plant Pot,3,172.49,517.47,Debit Card,West
TXN-00193,2024-08-06,CUST-3110,Home & garden,Plant Pot,2,145.84,291.68,Credit Card,East
TXN-00194,2024-07-15,CUST-1964,Books,SQL Fundamentals,5,8.37,41.85,Debit Card,North
TXN-00195,2024-12-07,CUST-1484,Books,Machine Learning Intro,3,208.63,625.89,PayPal,East
TXN-00196,2024-11-10,CUST-1904,Clothing,Winter Jacket,5,115.22,576.1,Bank Transfer,South
TXN-00197,2024-05-06,CUST-3786,Sports,Yoga Mat,5,212.6,1063.0,Credit Card,North
TXN-00198,2024-10-07,CUST-4698,Sports,Foam Roller,3,257.06,771.18,Debit Card,West
TXN-00199,2024-02-16,CUST-4681,Sports,Yoga Mat,5,127.55,637.75,Bank Transfer,East
TXN-00200,2024-01-12,CUST-2621,Home & Garden,Door Mat,1,18.36,18.36,Credit Card,North
TXN-00201,2024-02-05,CUST-4824,books,Data Engineering Guide,4,115.46,461.84,Bank Transfer,West
TXN-00201,2024-07-11,CUST-1328,sports,Yoga Mat,5,120.95,604.75,Debit Card,North
TXN-00203,2024-01-12,CUST-2222,Books,Clean Code,4,247.88,991.52,PayPal,South
TXN-00204,2024-05-21,CUST-1772,ELECTRONICS,Monitor Cable,1,75.99,75.99,Credit Card,West
TXN-00205,2024-11-02,CUST-3752,Electronics,Wireless Mouse,2,164.22,328.44,Credit Card,South
TXN-00206,2024-09-14,CUST-2184,Clothing,Wool Socks,5,181.38,906.9,PayPal,South
TXN-00207,2024-06-03,CUST-4589,Clothing,Baseball Cap,3,86.17,258.51,Debit Card,West
TXN-00208,2024-10-11,CUST-3030,Electronics,Monitor Cable,3,210.4,631.2,PayPal,West
TXN-00209,2024-04-04,CUST-4090,Sports,Tennis Balls,2,242.7,485.4,Bank Transfer,West
TXN-00210,2024-10-12,CUST-3170,Clothing,Running Shoes,1,277.05,277.05,Credit Card,South
TXN-00211,2024-01-27,CUST-2099,Books,Clean Code,1,60.51,60.51,Debit Card,West
TXN-00212,2024-04-16,CUST-4561,Home & Garden,Plant Pot,2,288.8,577.6,Bank Transfer,South
TXN-00213,2024-12-22,CUST-3475,Clothing,Denim Jeans,3,117.29,351.87,PayPal,East
TXN-00214,2024-05-13,CUST-2473,Sports,Jump Rope,4,229.67,918.68,Debit Card,East
TXN-00215,2024-06-09,CUST-2695,Electronics,Laptop Stand,1,81.93,81.93,Bank Transfer,East
TXN-00216,2024-03-19,CUST-1803,Home & Garden,Candle Set,4,167.43,669.72,PayPal,East
TXN-00217,2024-09-07,CUST-4958,Books,Design Patterns,2,46.29,92.58,Debit Card,North
TXN-00218,2024-09-25,CUST-1138,Electronics,Wireless Mouse,4,45.56,182.24,Credit Card,South
TXN-00219,2024-01-05,CUST-1895,Sports,Yoga Mat,5,274.25,1371.25,Credit Card,North
TXN-00220,2024-09-29,CUST-3259,BOOKS,Design Patterns,3,10.06,30.18,Bank Transfer,South
TXN-00221,2024-02-24,CUST-4760,Electronics,Laptop Stand,5,79.46,397.3,Bank Transfer,North
TXN-00222,2024-07-10,CUST-4929,Books,Data Engineering Guide,2,93.49,186.98,Credit Card,North
TXN-00223,2024-02-17,CUST-2660,Books,Machine Learning Intro,1,212.33,212.33,Bank Transfer,East
TXN-00224,2024-10-16,CUST-4514,Electronics,Wireless Mouse,5,145.27,726.35,Credit Card,East
TXN-00225,2024-10-05,CUST-3308,Electronics,Keyboard,,66.11,66.11,Debit Card,West
TXN-00226,2024-02-09,CUST-2225,Clothing,Baseball Cap,4,204.72,818.88,Bank Transfer,South
TXN-00227,2024-12-18,CUST-3966,Electronics,Keyboard,4,73.48,293.92,Bank Transfer,East
TXN-00228,2024-01-16,CUST-3597,Home & Garden,Throw Pillow,3,168.14,504.42,Debit Card,West
TXN-00229,2024-02-13,CUST-4162,Sports,Resistance Bands,1,84.05,84.05,Debit Card,West
TXN-00230,2024-06-11,CUST-2477,electronics,Power Bank,3,35.16,105.48,Bank Transfer,West
TXN-00231,2024-10-12,CUST-3272,Sports,Yoga Mat,5,32.45,162.25,PayPal,West
TXN-00232,2024-01-07,CUST-2195,Books,Python Cookbook,5,272.03,1360.15,Debit Card,West
TXN-00233,2024-03-27,CUST-1568,Home & Garden,Throw Pillow,2,133.23,266.46,Bank Transfer,North
TXN-00234,2024-07-03,CUST-2030,Clothing,Winter Jacket,2,140.06,280.12,Credit Card,West
TXN-00235,2024-06-19,CUST-4447,Sports,Tennis Balls,3,132.03,396.09,Debit Card,East
TXN-00236,2024-06-13,CUST-3470,Clothing,Denim Jeans,3,90.97,272.91,Bank Transfer,South
TXN-00237,2024-06-15,CUST-2540,Home & Garden,Throw Pillow,5,63.94,319.7,Debit Card,North
TXN-00238,2024-08-24,CUST-4862,Clothing,Running Shoes,1,246.59,246.59,Bank Transfer,West
TXN-00239,2024-03-12,CUST-3594,Home & Garden,Door Mat,4,237.77,951.08,Bank Transfer,West
TXN-00240,2024-09-30,CUST-3075,Books,SQL Fundamentals,5,180.17,900.85,Credit Card,South
TXN-00241,2024-12-02,CUST-3722,Home & Garden,Candle Set,4,290.2,1160.8,Bank Transfer,North
TXN-00242,2024-01-06,CUST-1403,Home & Garden,Door Mat,5,207.85,1039.25,PayPal,West
TXN-00243,2024-08-25,CUST-4163,Sports,Resistance Bands,1,147.41,147.41,Credit Card,North
TXN-00244,2024-03-13,CUST-2426,Home & Garden,Wall Clock,4,107.75,431.0,Bank Transfer,East
TXN-00245,2024-02-04,CUST-2229,Electronics,USB-C Hub,,106.2,106.2,Credit Card,South
TXN-00246,2024-05-04,CUST-3113,Clothing,Running Shoes,4,73.4,293.6,Debit Card,South
TXN-00247,2024-11-23,CUST-3692,Books,Design Patterns,2,137.62,275.24,Credit Card,South
TXN-00248,2024-04-15,CUST-2140,Electronics,Bluetooth Speaker,2,139.97,279.94,Bank Transfer,East
TXN-00249,2024-11-01,CUST-2591,Sports,Yoga Mat,4,187.12,748.48,PayPal,North
TXN-00250,2024-12-10,CUST-1548,home & garden,Plant Pot,2,155.69,311.38,Debit Card,West
